Temperature, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes  
32,47,13,0.3,79.9,18.4,84.4,2.2,23.8,3.9,0
25,76,17,7.2,46.0,1.3,7.5,0.2,1.8,0.1,0
29,74,19,0.1,75.8,3.6,32.2,2.1,5.6,0.9,0
30,73,13,4.0,55.7,2.7,7.8,0.6,2.9,0.2,0
35,64,18,0.2,80.0,9.7,40.4,2.8,12.1,3.2,0
34,63,13,2.9,69.7,7.2,9.8,1.2,6.9,0.6,0
34,51,16,3.8,77.5,8.0,9.5,2.0,7.7,1.3,0
32,68,14,1.4,66.6,7.7,9.2,1.1,7.4,0.6,0
22,86,15,10.1,30.5,0.7,7.0,0.0,1.1,0.0,0
25,78,15,3.8,42.6,1.2,7.5,0.1,1.7,0.0,0
32,47,14,0.7,77.5,7.1,8.8,1.8,6.8,0.9,0
25,86,21,4.6,40.9,1.3,7.5,0.1,1.8,0.0,0
33,73,12,1.8,59.9,2.2,8.9,0.7,2.7,0.3,0
38,52,14,0.0,78.3,4.4,10.5,2.0,4.4,0.8,0
34,71,14,6.5,64.5,3.3,9.1,1.0,3.5,0.4,0
34,58,13,0.2,79.5,18.7,88.0,2.1,24.4,3.8,0
28,51,17,1.3,71.4,7.7,7.4,1.5,7.3,0.8,0
30,54,14,3.1,70.5,11.0,9.1,1.3,10.5,0.8,0
30,52,15,2.0,72.3,11.4,7.8,1.4,10.9,0.9,0
32,54,11,0.5,73.7,7.9,30.4,1.2,9.6,0.7,0
27,87,29,0.5,45.9,3.5,7.9,0.4,3.4,0.2,0
33,65,15,0.1,81.4,12.3,62.1,2.8,16.5,4.0,1
39,45,13,0.6,85.2,11.3,10.4,4.2,10.9,4.7,1
33,57,16,0.0,87.5,15.7,37.6,6.7,15.7,9.0,1
37,36,13,0.6,86.2,17.9,36.7,4.8,17.8,7.2,1
33,64,13,0.0,88.9,26.1,106.3,7.1,32.4,13.7,1
37,40,13,0.0,91.9,22.3,55.5,10.8,22.3,15.7,1
35,42,15,0.3,84.7,15.5,45.1,4.3,16.7,6.3,1
34,70,16,0.0,86.0,12.8,25.6,5.4,12.7,6.7,1
33,68,15,0.0,86.1,23.9,51.6,5.2,23.9,9.1,1
38,43,13,0.5,85.0,13.0,35.4,4.1,13.7,5.2,1
34,44,12,0.0,92.5,25.2,63.3,11.2,26.2,17.5,1
32,75,14,0.0,86.4,13.0,39.1,5.2,14.2,6.8,1
35,34,16,0.2,88.3,16.9,45.1,7.5,17.5,10.5,1
34,64,16,0.0,89.4,50.2,210.4,7.3,62.9,19.9,1
36,55,18,0.0,89.1,33.5,151.3,9.9,43.1,20.4,1
35,55,14,0.0,88.9,18.6,67.0,7.4,21.9,11.6,1
34,40,18,0.0,92.1,56.3,157.5,14.3,59.5,31.1,1
34,58,16,0.0,88.1,27.8,61.1,7.3,27.7,13.0,1
31,79,15,0.0,85.4,28.5,136.0,4.7,37.4,10.7,1
36,61,18,0.3,80.2,11.7,90.4,2.8,17.6,4.2,1
34,69,13,0.0,85.0,8.2,19.8,4.0,8.2,3.9,1
31,62,15,0.0,83.3,5.8,17.7,3.8,6.4,3.2,1
36,58,19,0.0,88.6,29.6,141.1,9.2,38.8,18.4,1
30,73,15,0.0,86.6,12.1,38.3,5.6,13.5,7.1,1
36,33,13,0.1,90.6,25.8,77.8,9.0,28.2,15.4,1
30,59,19,0.0,89.1,27.8,168.2,9.8,39.3,19.4,1
33,66,14,0.0,85.9,7.6,27.9,4.8,9.1,4.9,1
