Date,Time,S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count
2017/12/23,12:16:50,25.56,25.31,25.06,25.94,122,36,66,48,0.47,0.19,0.14,0.11,370,0.253846153846,1,0,1
2017/12/23,15:32:54,25.88,26.81,25.5,26.25,120,25,48,35,0.31,0.09,0.07,0.07,415,-1.76153846154,0,0,1
2017/12/22,11:27:59,25.31,25.63,24.81,25.75,124,29,62,46,0.51,0.55,0.17,0.12,450,1.10384615385,1,1,1
2017/12/23,12:16:19,25.56,25.31,25.06,25.94,123,37,66,48,0.54,0.23,0.18,0.15,370,0.234615384615,0,0,1
2017/12/22,10:52:45,25.0,24.75,24.56,25.44,120,34,54,40,1.39,0.32,0.43,0.06,390,0.0769230769231,1,0,1
2017/12/23,12:18:22,25.56,25.31,25.13,25.94,123,37,67,49,0.49,0.18,0.14,0.12,370,0.288461538462,1,0,1
2017/12/22,15:58:05,26.0,25.81,25.63,26.31,119,29,54,34,0.08,0.05,0.06,0.06,595,1.59230769231,0,0,1
2017/12/22,11:27:28,25.31,25.25,24.88,25.75,123,31,61,46,0.48,0.31,0.53,0.1,450,1.1,1,1,1
2017/12/23,11:55:23,25.38,25.25,25.0,25.81,122,36,65,47,0.35,0.19,0.09,0.07,360,0.130769230769,1,0,1
2017/12/22,16:17:29,26.06,25.75,25.56,26.31,117,27,45,26,0.07,0.05,0.07,0.06,610,0.626923076923,0,0,1
2017/12/22,15:26:56,25.88,25.88,25.69,26.31,116,35,77,49,0.18,0.06,0.07,0.06,590,-3.17307692308,1,0,1
2017/12/23,15:57:24,26.0,26.81,25.5,26.25,119,24,39,29,0.64,0.1,0.11,0.06,455,1.40769230769,0,0,1
2017/12/22,11:06:32,25.19,24.88,24.69,25.56,123,35,58,44,0.37,0.16,0.18,0.05,410,0.903846153846,0,0,1
2017/12/23,12:05:05,25.44,25.31,25.06,25.88,124,38,71,51,0.99,0.05,0.25,0.12,365,0.126923076923,0,0,1
2017/12/22,11:09:05,25.19,24.88,24.69,25.56,123,35,58,44,0.08,0.05,0.05,0.06,420,1.02692307692,0,0,1
2017/12/22,15:36:07,25.94,25.81,25.63,26.38,120,34,69,43,1.75,0.06,0.55,0.06,570,-1.26538461538,1,0,1
2017/12/22,11:05:31,25.19,24.88,24.69,25.56,123,35,58,45,0.08,0.08,0.07,0.06,400,0.788461538462,0,0,1
2017/12/22,16:25:08,26.13,25.75,25.56,26.31,115,25,39,22,0.32,0.05,0.28,0.07,615,0.326923076923,1,0,1
2017/12/22,16:08:48,26.06,25.75,25.56,26.31,117,28,49,29,0.19,0.06,0.1,0.06,595,0.161538461538,0,0,1
2017/12/23,12:13:15,25.5,25.31,25.13,25.94,122,36,66,48,1.18,0.41,0.19,0.17,370,0.307692307692,1,0,1
2017/12/22,16:26:09,26.06,25.75,25.56,26.31,115,25,38,21,0.07,0.06,0.07,0.06,615,0.226923076923,0,0,1
2017/12/22,16:20:02,26.06,25.69,25.56,26.31,117,26,43,24,0.08,0.06,0.06,0.06,620,0.892307692308,0,0,1
2017/12/23,16:20:23,26.06,26.81,25.5,26.31,118,21,27,20,1.2,0.08,0.07,0.07,515,1.74615384615,0,0,1
2017/12/22,11:26:27,25.31,25.0,24.81,25.75,123,37,64,49,0.36,0.09,0.09,0.09,450,0.984615384615,1,0,1
2017/12/22,16:15:57,26.13,25.75,25.56,26.31,117,27,45,26,0.16,0.05,0.15,0.07,605,0.788461538462,0,0,1
2017/12/23,16:12:13,26.06,26.75,25.5,26.31,118,22,32,22,0.16,0.14,0.14,0.07,490,0.784615384615,1,0,1
2017/12/23,12:37:15,25.63,25.38,25.19,26.0,125,40,76,54,1.09,0.05,0.08,0.07,380,0.253846153846,0,0,1
