Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
20.79,24.79,433.0,645.25,0.003759479,1
23.025,29.9175,469.0,1246.0,0.005212351,1
22.84,30.84,444.0,1361.75,0.00531407,1
22.6,25.0,433.0,832.0,0.004238231,1
21.89,28.29,509.0,1159.8,0.004595706,1
23.29,25.79,592.75,898.25,0.004561068,1
23.30666667,28.53333333,466.5,1105.666667,0.005055304,1
22.5,24.91166667,433.0,811.0,0.004197408,1
21.4175,27.22,464.0,982.5,0.00429386,1
22.7,25.815,432.75,920.25,0.004404207,1
22.525,24.945,433.0,822.25,0.004209495,1
23.14,26.0,660.0,990.2,0.004556682,1
22.7,31.4725,433.0,1402.25,0.005377759,1
22.2,27.7,544.2,1152.4,0.004585655,1
22.39,25.0925,310.25,809.0,0.004199716,1
22.7,31.236,433.0,1384.8,0.005337001,1
20.39,23.7,399.5,518.0,0.003505185,1
23.1,29.745,469.0,1233.75,0.005205812,1
23.39,25.6,738.0,1042.0,0.004554837,1
21.89,28.5,511.3333333,1189.666667,0.004630075,1
21.89,28.39,510.0,1180.0,0.004612072,1
23.0,28.2,429.0,1088.0,0.004903275,1
21.89,26.315,563.0,931.75,0.004272664,1
22.6,25.218,439.8,861.0,0.004275443,1
21.2,26.245,439.0,849.0,0.004083836,1
20.5,23.978,412.2,525.2,0.003570839,1
21.2,25.22833333,454.0,738.5,0.00392464,1
22.7,31.37571429,439.0,1393.428571,0.005361078,1
21.6,27.4725,467.75,1028.25,0.004383012,1
21.89,28.445,513.0,1193.5,0.004621073,1
22.7,30.945,433.0,1338.25,0.005286858,1
22.6,25.04285714,433.0,845.3333333,0.004245546,1
23.64,26.976,458.0,897.6,0.004875045,1
22.945,30.7,454.0,1350.75,0.005323785,1
21.7,27.945,479.0,1078.833333,0.004486488,1
22.5,25.66666667,652.0,940.3333333,0.004325504,1
20.772,24.52,419.0,625.6,0.003714144,1
24.2,25.89166667,786.1666667,1145.333333,0.004838987,1
22.772,31.02,444.0,1364.0,0.005323174,1
22.6,30.14,419.0,1217.8,0.00511678,1
23.66666667,27.7,503.6666667,1001.0,0.005015051,1
20.89,24.85,429.0,716.2,0.00379204,1
22.9725,25.39,693.75,970.0,0.004403831,1
23.02,27.556,435.0,1042.6,0.004796284,1
22.89,26.39,668.0,1015.5,0.004555569,1
22.7225,31.2,442.5,1381.5,0.005338141,1
20.82333333,25.03333333,419.0,622.6666667,0.003804453,1
21.7,27.85666667,482.0,1076.166667,0.004472204,1
22.79,31.075,444.75,1360.75,0.005338567,1
23.2,29.2,464.0,1197.75,0.005140889,1
22.89,30.675,454.0,1356.0,0.005301571,1
22.745,31.15,447.0,1366.333333,0.005336854,1
21.64,27.716,476.0,1045.8,0.004433048,1
24.0,26.365,774.5,1182.0,0.004868882,1
24.08,26.37,769.8,1187.6,0.004893449,1
22.6,30.1,419.0,1217.2,0.005109933,1
22.79,30.89,444.0,1359.0,0.005306513,1
23.29,25.79,585.75,895.0,0.004561068,1
23.6,27.7,483.1666667,1009.5,0.00499479,1
20.5,23.89,419.0,487.2,0.003557659,1
24.05,26.34,774.5,1182.0,0.004878973,1
20.775,24.89,416.6666667,589.5,0.00377123,1
22.89,30.85,469.0,1393.0,0.005332075,1
22.2,27.52,548.6,1104.4,0.004555639,1
23.1,26.0,655.0,994.0,0.004545592,1
23.29,27.96333333,513.0,1096.333333,0.004948489,1
20.5,24.1,412.2,536.4,0.003589112,1
21.89,28.365,518.0,1173.0,0.00460798,1
22.945,30.39,469.0,1311.5,0.005269572,1
23.6,27.80428571,480.1428571,1030.428571,0.005013746,1
23.2,28.7,456.5,1144.0,0.005052145,1
20.7675,24.6,419.0,628.75,0.003725296,1
