Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
22.6,25.02142857,433.0,841.1666667,0.004241889,1
20.7,24.37,419.0,584.8,0.003674858,1
21.7,27.9725,489.0,1080.5,0.004490935,1
23.365,28.5,471.5,1103.5,0.00506731,1
22.89,30.675,454.0,1351.75,0.005301571,1
23.5,28.0,445.0,1053.6,0.005018735,1
20.84,25.34,442.5,673.5,0.003855324,1
23.29,25.6,735.0,1029.833333,0.004527221,1
22.956,26.236,647.8,1008.2,0.004547063,1
23.5,28.0,439.0,1055.5,0.005018735,1
24.2,25.89,794.25,1149.25,0.004838673,1
21.2,26.05,449.5,815.2,0.004053295,1
20.79,24.79,433.0,668.0,0.003759479,1
23.272,28.6,464.0,1126.8,0.005056527,1
23.1,29.84,469.0,1235.75,0.005222578,1
22.1,28.39,535.0,1213.0,0.004671979,1
22.79,30.89,444.0,1361.666667,0.005306513,1
20.79,24.79,433.0,658.0,0.003759479,1
22.06,28.274,538.0,1190.4,0.00464133,1
22.7,31.1,433.0,1355.75,0.005313565,1
22.745,31.29,438.0,1381.0,0.005361046,1
21.06666667,25.2,458.0,727.6666667,0.003888039,1
22.945,28.13333333,429.0,1085.0,0.004875203,1
22.2,27.51666667,549.3333333,1110.833333,0.004555083,1
20.79,24.79,433.0,672.75,0.003759479,1
24.40833333,25.68166667,798.0,1124.0,0.004860208,1
20.52,24.0,409.8,499.6,0.003578573,1
21.075,24.89,444.0,745.0,0.003841893,1
23.2,28.65,469.0,1124.25,0.005043272,1
22.58,25.08,433.0,821.5,0.00424669,1
20.84,25.1975,433.0,649.5,0.00383351,1
22.6,30.1,419.0,1204.75,0.005109933,1
20.79,24.7,422.5,643.25,0.003745748,1
22.7,31.29,447.0,1377.2,0.005346307,1
22.7,26.754,432.0,976.2,0.004565583,1
22.29,27.5,563.4,1070.4,0.0045775,1
22.62,25.476,436.2,887.2,0.004324772,1
21.2,25.18,454.0,740.2,0.003917073,1
23.39,28.2,454.75,1081.0,0.005021172,1
22.56,24.81,433.0,812.2,0.00419553,1
23.79,26.31,763.0,1158.2,0.004797221,1
22.2,27.7225,547.0,1153.75,0.004589408,1
20.89,24.79,429.0,713.8,0.003782829,1
23.29,25.79,576.75,901.0,0.004561068,1
22.18333333,27.80666667,555.0,1168.0,0.004598739,1
23.29,27.5,505.8,1051.8,0.004865854,1
22.2,27.772,543.0,1148.6,0.004597663,1
22.79,26.525,651.0,1027.25,0.004551175,1
20.865,25.365,433.0,656.75,0.00386513,1
22.39,24.754,416.2,771.8,0.004142684,1
22.79,30.83,444.0,1363.8,0.005296118,1
23.456,25.66,738.0,1052.4,0.004583942,1
23.0,26.29,662.3333333,1006.333333,0.004568734,1
23.29,27.7,513.0,1074.0,0.004901521,1
23.754,26.35,476.0,803.2,0.004794094,1
20.79,24.79,433.0,666.5,0.003759479,1
23.29,28.39,483.4,1120.6,0.005024603,1
22.245,27.58333333,562.0,1077.0,0.004578822,1
23.73,26.23,572.6666667,769.6666667,0.004765153,1
22.42666667,27.03333333,625.6666667,1038.0,0.004537094,1
21.2225,26.525,454.0,872.25,0.004133435,1
21.2,25.34,448.0,765.75,0.003942121,1
23.1,29.84,469.0,1239.5,0.005222578,1
23.29,26.62,546.0,968.0,0.004708968,1
21.945,28.29,513.0,1177.75,0.004611274,1
23.625,27.3925,498.6666667,961.0,0.004946406,1
21.7,28.0725,474.0,1076.75,0.004507106,1
20.79,24.79,433.0,665.5,0.003759479,1
22.89,30.85666667,454.0,1383.833333,0.005333238,1
