intercolumnar distance,upper margin,lower margin,exploitation,row number,modular ratio,interlinear spacing,weight,peak number,modular ratio.1,Class
0.229043,-0.008597,0.175168,0.087408,0.17234,0.356414,0.710932,-0.063101,0.095265,0.044376,A
0.229043,-0.369751,0.484575,0.250174,0.261718,0.397939,0.861934,0.914504,0.438262,-0.002989,A
0.303106,0.022808,0.146717,-1.815842,0.261718,0.024215,0.597681,-0.594986,0.375899,-0.183406,A
-0.030178,0.438921,-0.045329,0.766462,0.17234,0.522513,0.257927,0.226636,0.18881,0.435625,A
0.438888,0.289748,0.14316,-0.282494,0.261718,0.231839,-0.044076,-1.006166,-0.185368,0.375831,A
0.068573,0.289748,0.107596,1.267115,0.261718,0.564038,0.55993,1.301045,-0.185368,0.31212,A
0.117948,0.321153,-3.210528,0.642753,0.351096,-0.640182,-2.875357,-0.430168,-0.497183,-1.564261,A
0.105604,-0.251983,0.466793,0.287084,0.261718,0.397939,0.295677,0.20124,0.40708,0.323307,A
-0.128929,0.383963,0.23207,1.248675,0.261718,0.356414,-0.006326,0.698507,0.219991,0.459976,A
0.389513,0.556689,0.431229,-1.955514,0.082961,-0.058835,-0.006326,0.279193,-0.590727,0.054538,A
0.463576,0.109171,0.224957,-1.411178,0.261718,-0.224934,0.257927,1.136888,0.562987,-0.226033,A
0.130292,-0.456114,0.292529,0.202672,0.261718,-0.307984,0.786433,-0.799586,0.126447,-0.567241,A
0.117948,-0.008597,0.623275,-0.855684,0.17234,-1.055431,-2.648855,0.044965,-1.058449,-1.058271,A
-3.498799,10.65331,-3.210528,0.06482,-4.922215,-0.349509,-0.270579,1.862675,-1.183175,-0.041614,A
0.105604,-0.251983,0.466793,0.287084,0.261718,0.605563,0.899684,-0.389455,-0.43482,0.159189,A
0.117948,0.124874,0.128935,0.3837,0.17234,0.854712,0.899684,-0.605606,-0.372457,0.371926,A
0.216699,0.321153,0.128935,0.491087,0.261718,0.522513,0.333428,0.648862,0.095265,0.404776,A
0.130292,-0.456114,0.292529,0.202672,0.261718,0.688613,0.295677,-1.298969,-0.497183,0.573282,A
-3.498799,-0.236281,0.256965,-0.3018,-4.922215,-0.10036,0.333428,0.083486,0.095265,-0.124167,A
0.080916,-0.244132,0.45968,0.426726,0.261718,0.356414,0.144676,-0.207454,-0.123005,0.38304,A
0.241386,0.109171,-0.127126,0.380626,0.17234,0.854712,0.371178,-0.174662,-0.091823,0.681441,A
0.377169,0.179832,0.064919,-1.533962,0.261718,1.394535,0.748682,-0.91369,-0.278912,0.929138,A
0.266074,0.164129,0.118265,0.320234,0.261718,-0.01731,1.012935,-0.366893,-0.216549,-0.414829,A
0.364825,0.195534,0.175168,-0.027618,0.261718,-0.930856,-2.988609,0.318606,-0.029461,-2.181532,A
0.068573,-0.197025,0.032912,0.615571,0.082961,-0.723232,0.144676,0.80205,-0.091823,-0.605757,A
0.216699,-0.189174,0.352988,-2.20129,0.261718,1.35301,0.484429,-1.055617,-0.341275,1.052679,A
0.006853,-0.668096,0.477462,1.62168,0.17234,1.477585,0.106925,0.373397,-0.091823,1.401626,A
0.15498,0.595945,0.036468,-0.126143,0.261718,-0.10036,0.710932,0.592519,0.126447,-0.345849,A
0.401857,-0.29909,0.328093,0.432395,-1.257711,0.273364,0.333428,0.692139,-0.185368,0.190713,A
0.031541,-0.118513,0.374326,-0.066706,0.261718,-0.515608,-0.006326,-0.123308,0.40708,-0.345343,A
-0.314087,-2.426761,-0.006209,-0.194681,0.261718,2.80638,0.333428,-1.592297,-1.120812,2.472496,A
0.105604,-0.189174,0.164499,-0.683757,0.261718,-0.141884,0.333428,-0.362273,-0.060642,-0.175558,A
-0.030178,0.438921,-0.045329,0.766462,0.17234,0.024215,-0.044076,0.718369,0.375899,0.16248,A
0.364825,-0.149918,0.107596,-1.108143,0.17234,-0.432558,0.786433,-1.111241,-0.840179,-0.785041,A
-3.498799,0.486028,0.139604,-5.440122,-0.006417,-0.681707,-0.34608,0.707361,-2.305708,-0.318255,A
0.019197,-0.087108,0.384996,0.794958,0.261718,-0.183409,0.371178,0.780246,0.531806,-0.241922,A
0.019197,-0.087108,0.292529,0.240776,0.17234,1.311485,0.446679,-0.522877,-0.060642,1.038249,A
-0.030178,-0.220579,0.242739,1.988271,0.17234,0.979286,0.333428,1.449806,0.375899,0.79494,A
0.327793,-2.426761,0.008017,-0.54498,-0.006417,-0.349509,0.937434,0.068652,0.375899,-0.671482,A
0.031541,0.36826,-0.027547,0.237135,0.17234,0.190314,0.257927,-0.071974,0.064084,0.150268,A
0.303106,-0.134216,-0.002652,-0.624558,0.261718,0.439463,0.182426,-1.10897,-0.185368,0.430465,A
0.15498,-0.16562,-3.210528,-1.32068,-0.185173,-0.391033,0.257927,-0.83564,-0.65309,-0.382919,A
0.216699,-0.291239,0.349432,0.50711,0.261718,0.605563,0.52218,0.345729,-0.278912,0.365332,A
0.080916,0.014957,0.064919,0.346104,0.17234,-0.307984,0.257927,0.543495,0.095265,-0.300196,A
0.229043,-0.354049,0.182281,0.210878,0.261718,-0.307984,-0.006326,0.426711,-0.154186,-0.155655,A
0.09326,0.329004,0.271191,-0.813522,0.17234,1.602159,0.748682,-0.426053,-0.185368,1.11727,A
0.229043,0.572391,0.050694,-0.980138,-0.274551,-2.716425,0.484429,1.352301,-2.056256,-2.540992,A
0.648733,0.242641,-0.045329,-0.444157,0.261718,1.145386,0.408929,-0.366797,-0.123005,0.910585,A
0.031541,0.117022,-0.176916,-0.620739,-1.168333,1.311485,0.295677,0.076943,0.219991,1.13815,A
0.117948,-0.212727,0.23207,0.807221,-1.078955,0.107265,0.144676,1.772237,1.03071,0.130052,A
0.15498,-0.16562,-3.210528,-1.32068,-0.185173,-0.391033,-2.648855,0.045159,0.251173,-2.195986,A
0.303106,-0.03215,0.367214,-0.350585,0.17234,-0.474083,0.295677,0.472279,0.064084,-0.467473,A
-3.498799,0.203385,0.95402,-2.222565,-4.922215,-1.885928,-2.799857,-1.480406,-2.087438,-3.150969,A
-0.06721,-0.275537,0.253409,0.371526,-1.078955,1.726734,0.55993,-0.801507,-0.372457,1.328802,A
-3.498799,0.203385,0.95402,-2.222565,-4.922215,-0.889332,0.144676,-1.433401,-1.744441,-0.770973,A
0.142636,0.470326,-2.958023,-0.379737,0.261718,1.560634,0.446679,-0.010272,0.219991,1.256242,A
-0.264711,-0.126364,0.235627,0.176773,0.261718,1.26996,0.069175,-0.288416,-1.49499,1.259087,A
0.216699,-0.189174,0.352988,-2.20129,0.261718,0.854712,0.446679,-1.062179,-0.310094,0.631364,A
0.130292,0.007106,0.239183,0.766194,0.261718,-0.349509,0.295677,1.072701,0.219991,-0.356867,A
0.15498,-0.189174,0.246296,-1.223587,0.082961,0.190314,0.069175,1.559639,0.001721,0.280499,A
0.229043,-0.008597,0.175168,0.087408,0.17234,-0.349509,0.031425,-0.207882,-0.185368,-0.21575,A
-0.116585,0.203385,5.49199,1.852806,-1.436467,2.349606,0.396345,-0.285776,-0.247731,1.979851,A
-3.498799,-0.16562,0.811764,-1.809159,-4.922215,-2.218127,-6.537148,-2.335966,-2.492797,-4.323753,A
0.130292,-0.126364,0.271191,0.816262,0.261718,0.813187,-0.006326,0.590752,-0.372457,0.867596,A
0.15498,-0.040001,0.363657,1.200934,0.261718,-0.266459,0.55993,1.361893,0.438262,-0.418541,A
0.056229,0.43107,-3.210528,-1.133148,0.261718,0.273364,0.484429,-0.660319,-0.185368,0.104121,A
1.37702,-0.063555,0.349432,0.40572,0.17234,-0.391033,0.333428,-1.466058,-1.370264,-0.409946,A
0.117948,0.124874,0.128935,0.3837,0.17234,0.231839,0.371178,-0.270613,-0.808997,0.135259,A
0.056229,0.533135,0.185837,0.882801,0.261718,-0.266459,0.446679,0.395588,-0.590727,-0.360761,A
-0.042522,-0.29909,0.182281,1.151314,0.261718,-0.349509,0.220177,1.080525,0.375899,-0.31758,A
5.759087,-0.236281,0.377883,-2.104317,-1.79398,1.145386,0.333428,-0.271564,-0.247731,0.971234,A
-0.017834,-0.440412,0.267634,1.39515,0.261718,1.186911,1.050686,0.832668,0.064084,0.569822,A
0.019197,-0.283388,0.214288,0.857677,0.261718,-0.10036,0.144676,1.069769,0.438262,-0.021819,A
-0.042522,0.407516,-3.210528,-0.636404,0.261718,0.564038,0.484429,-0.650106,-0.216549,0.358761,A
0.09326,-0.055704,0.068476,0.305076,0.261718,-0.058835,0.408929,0.273873,-0.091823,-0.157319,A
-0.042522,0.140576,0.089814,0.07231,0.261718,1.062336,0.446679,-0.84628,-0.403638,0.813481,A
0.130292,0.077766,0.299642,-0.693335,0.261718,0.564038,0.220177,0.981778,0.064084,0.507245,A
0.290762,0.109171,-0.112901,0.221262,0.261718,0.896237,0.635431,-0.445759,-0.65309,0.570425,A
0.179667,0.321153,0.242739,0.045844,0.17234,0.439463,0.182426,-0.215764,0.064084,0.416276,A
-0.128929,0.383963,0.23207,1.248675,0.261718,1.477585,0.069175,-0.15678,0.344717,1.513751,A
0.204355,-0.448263,0.349432,0.689659,0.261718,0.979286,-0.308329,-0.873908,-0.091823,1.226743,A
0.09326,-1.680899,0.356544,0.180532,0.17234,0.522513,0.295677,0.800166,0.438262,0.438543,A
-0.240024,-0.424709,0.089814,1.094532,0.261718,-0.058835,2.107697,-0.194562,0.500624,-0.951004,A
0.994361,-0.008597,-0.148465,0.826884,0.261718,-0.307984,0.106925,0.820902,0.18881,-0.220017,A
-0.00549,-0.322644,0.100483,-0.519439,0.261718,-0.307984,0.069175,-0.574114,0.282354,-0.182852,A
0.216699,0.321153,0.128935,0.491087,0.261718,0.439463,0.899684,0.061488,0.18881,0.017372,A
0.587014,0.399665,0.064919,0.116828,-1.615223,1.228436,0.106925,-0.329946,-0.746634,1.183272,A
