intercolumnar distance,upper margin,lower margin,exploitation,row number,modular ratio,interlinear spacing,weight,peak number,modular ratio.1,Class
0.303106,-0.03215,0.367214,-0.350585,0.17234,-0.058835,0.937434,0.208501,0.282354,-0.430247,A
0.105604,0.10132,0.246296,0.08708,0.261718,0.937762,0.333428,0.22514,0.251173,0.774205,A
0.130292,-0.456114,0.292529,0.202672,0.261718,0.480988,0.257927,-0.883247,-0.497183,0.409128,A
0.117948,-0.220579,-3.210528,-1.623238,0.261718,0.439463,0.371178,-1.039288,-0.497183,0.307551,A
1.772024,0.014957,0.335206,-0.08619,-2.687761,0.190314,0.333428,0.165166,-0.123005,0.103771,A
0.056229,-0.730905,0.441898,0.183695,0.261718,0.771662,0.257927,-0.080575,0.157628,0.666685,A
0.303106,-0.134216,-0.002652,-0.624558,0.261718,0.480988,0.257927,-1.490852,-0.746634,0.395975,A
0.068573,0.148427,0.111153,0.179577,0.261718,0.06574,0.182426,-0.312919,-0.964905,0.076683,A
0.327793,-2.426761,0.008017,-0.54498,-0.006417,-0.183409,0.748682,-0.325578,0.219991,-0.438433,A
0.09326,0.2976,-0.013322,0.1091,0.261718,0.480988,0.144676,-0.170507,0.064084,0.48874,A
0.15498,-0.275537,0.417003,0.813815,0.261718,-0.515608,0.333428,0.733145,0.344717,-0.524024,A
0.229043,-0.369751,0.484575,0.250174,0.261718,0.273364,0.635431,0.442651,0.251173,0.00334,A
-0.153617,-0.267686,-3.210528,-0.351778,-0.006417,1.394535,0.257927,-0.531342,-0.310094,1.231035,A
-3.498799,0.43107,0.466793,0.713201,-4.922215,-0.01731,0.824183,1.794196,-1.900349,-0.333661,A
9.52396,-0.181323,0.068476,-2.809808,-2.777139,-2.6749,0.257927,-0.83861,-1.71326,-2.422056,A
-0.030178,0.438921,-0.045329,0.766462,0.17234,0.273364,-0.006326,0.293987,0.656532,0.373372,A
-0.00549,0.478177,0.029355,-0.247644,0.17234,-0.141884,0.295677,0.421158,0.251173,-0.170856,A
0.290762,0.109171,-0.112901,0.221262,0.261718,0.564038,0.446679,-0.437217,0.095265,0.376193,A
0.056229,0.533135,0.185837,0.882801,0.261718,0.564038,0.710932,0.444282,-0.341275,0.222358,A
0.09326,-0.087108,-2.268081,-0.164963,0.261718,0.314889,0.069175,-0.338159,0.18881,0.366284,A
0.15498,-0.377602,0.349432,0.70613,-0.006417,-0.183409,0.031425,0.49783,0.18881,-0.062457,A
0.056229,0.007106,0.406334,0.455401,0.261718,-0.598658,0.295677,0.856121,0.344717,-0.56958,A
0.130292,-0.126364,0.377883,0.755362,0.261718,0.024215,0.446679,-0.37598,0.251173,-0.103698,A
0.043885,-0.157769,0.328093,0.552225,0.261718,0.647088,0.144676,0.267854,-0.185368,0.634137,A
0.006853,-0.668096,0.477462,1.62168,0.17234,2.80638,0.52218,-1.485784,-1.557353,2.323157,A
0.216699,0.321153,0.128935,0.491087,0.261718,0.522513,1.163937,0.164816,-0.154186,-0.042361,A
-0.00549,-0.322644,0.100483,-0.519439,0.261718,-1.096956,-0.044076,-0.344197,0.095265,-0.864413,A
0.142636,0.203385,-0.006209,-0.834827,0.261718,2.100457,0.484429,-0.064382,-0.590727,1.702607,A
